Complexity,Loss,Equation
1,8.757059,"x4"
2,0.37074295,"square(-0.64796644)"
3,0.21947101,"1.1536885 / x4"
4,0.111036934,"x3 / square(x2)"
5,0.04479477,"x5 / square(square(x4))"
6,0.01598113,"square(0.44713682 / (x4 / x5))"
8,0.008900463,"(x5 + (-2.940635 / x0)) / square(x4)"
9,0.008900462,"((x5 + (-2.940635 / x0)) / x4) / x4"
10,0.008757021,"((x5 * 1.0289574) + (-3.1684272 / x0)) / square(x4)"
11,0.006546085,"square(exp(neg(exp((x4 / x5) - 0.24374093))) * x3)"
12,0.0025264597,"square(exp(neg(exp(square(x4 / (x5 + 0.60571104))))) * x3)"
13,0.0025264565,"square(x3 * exp(neg(exp(square(x4 / (x5 + sqrt(0.3668466)))))))"
14,0.0020058753,"square((exp(neg(exp(square(x4 / (x5 + 0.6581816))))) * x3) + -0.014046728)"
15,0.0018995922,"square(exp(neg(exp(square((x4 / (neg(x5) - 0.73217)) - 0.028499166)))) * x3)"
16,0.0018995709,"square(exp(neg(exp(square((x4 / ((x5 + 0.13664702) + 0.5946039)) + 0.028358497)))) * x3)"
19,0.0015818004,"square(exp(neg(exp(square((x4 / (neg(x5) - sqrt(sqrt(1.1865845 / x1)))) - 0.028499166)))) * x3)"
