Complexity,Loss,Equation
1,1.7754723,"x1"
2,0.08171499,"sqrt(0.3256027)"
3,0.025415402,"x1 / 3.1406353"
4,0.017960697,"exp(x1) / 13.462824"
5,0.011540182,"x1 / (1.4928814 + x3)"
7,0.0074619926,"x1 / ((3.7427106 + x3) - x0)"
8,0.0063986504,"x1 / (1.8746165 + (square(x3) / x0))"
10,0.0031378765,"((x1 - (x3 / sqrt(x0))) / 2.822345) - -0.36511686"
12,0.0031378753,"((x1 - square(sqrt(x3 / sqrt(x0)))) / 2.822283) - -0.3651133"
13,0.0016996954,"((x1 - (x3 / sqrt(x0))) / (neg(-5.2431436) - x0)) + 0.37766814"
15,0.0015559488,"(((x1 - (x3 / sqrt(x0))) / (neg(-4.6107197) - x0)) * 0.77129406) + 0.38130093"
16,0.0015256858,"((x1 - sqrt(square(x3) / x0)) / (neg(-7.76077) - (x0 + x0))) + 0.38948348"
18,0.00096373016,"(((x1 - sqrt(square(x3) / x0)) + -0.26263154) / (neg(-7.735638) - (x0 + x0))) + 0.47395504"
20,0.00085605774,"(((x1 - sqrt(square(x3) / x0)) + -0.26869407) / (neg(-8.784891) - (sqrt(exp(x0)) + x0))) + 0.4810445"
